STATION,STATION_NAME,DATE,HPCP
COOP:221852,COLLINS MS US,20000101 01:00,0.00
COOP:221852,COLLINS MS US,20000104 06:00,0.10
COOP:221852,COLLINS MS US,20000104 10:00,0.80
COOP:221852,COLLINS MS US,20000109 09:00,0.10
COOP:221852,COLLINS MS US,20000109 19:00,0.10
COOP:221852,COLLINS MS US,20000109 20:00,0.70
COOP:221852,COLLINS MS US,20000109 22:00,0.10
COOP:221852,COLLINS MS US,20000110 00:00,0.10
COOP:221852,COLLINS MS US,20000122 18:00,0.20
COOP:221852,COLLINS MS US,20000123 06:00,0.10
COOP:221852,COLLINS MS US,20000123 12:00,0.10
COOP:221852,COLLINS MS US,20000128 00:00,0.10
COOP:221852,COLLINS MS US,20000128 02:00,0.10
COOP:221852,COLLINS MS US,20000128 08:00,0.10
COOP:221852,COLLINS MS US,20000128 12:00,0.10
COOP:221852,COLLINS MS US,20000201 01:00,0.00
COOP:221852,COLLINS MS US,20000211 13:00,0.10
COOP:221852,COLLINS MS US,20000217 18:00,0.20
COOP:221852,COLLINS MS US,20000218 19:00,0.10
COOP:221852,COLLINS MS US,20000226 22:00,0.10
COOP:221852,COLLINS MS US,20000226 23:00,0.10
COOP:221852,COLLINS MS US,20000227 00:00,0.20
COOP:221852,COLLINS MS US,20000227 01:00,0.30
COOP:221852,COLLINS MS US,20000227 02:00,0.10
COOP:221852,COLLINS MS US,20000227 03:00,0.10
COOP:221852,COLLINS MS US,20000301 01:00,0.00
COOP:221852,COLLINS MS US,20000310 23:00,0.40
COOP:221852,COLLINS MS US,20000311 05:00,0.30
COOP:221852,COLLINS MS US,20000311 10:00,0.20
COOP:221852,COLLINS MS US,20000311 11:00,0.20
COOP:221852,COLLINS MS US,20000315 01:00,0.10
COOP:221852,COLLINS MS US,20000315 19:00,0.10
COOP:221852,COLLINS MS US,20000315 21:00,0.10
COOP:221852,COLLINS MS US,20000315 23:00,0.10
COOP:221852,COLLINS MS US,20000318 16:00,0.20
COOP:221852,COLLINS MS US,20000318 20:00,0.10
COOP:221852,COLLINS MS US,20000318 21:00,0.10
COOP:221852,COLLINS MS US,20000319 05:00,0.10
COOP:221852,COLLINS MS US,20000319 07:00,0.20
COOP:221852,COLLINS MS US,20000319 08:00,0.20
COOP:221852,COLLINS MS US,20000319 09:00,0.20
COOP:221852,COLLINS MS US,20000319 17:00,0.20
COOP:221852,COLLINS MS US,20000319 18:00,0.20
COOP:221852,COLLINS MS US,20000319 19:00,0.10
COOP:221852,COLLINS MS US,20000326 03:00,0.10
COOP:221852,COLLINS MS US,20000326 05:00,0.10
COOP:221852,COLLINS MS US,20000326 15:00,0.40
COOP:221852,COLLINS MS US,20000326 16:00,0.10
COOP:221852,COLLINS MS US,20000326 20:00,0.10
COOP:221852,COLLINS MS US,20000327 11:00,0.20
COOP:221852,COLLINS MS US,20000327 12:00,0.10
COOP:221852,COLLINS MS US,20000329 21:00,0.10
COOP:221852,COLLINS MS US,20000329 22:00,0.10
COOP:221852,COLLINS MS US,20000401 01:00,0.00
COOP:221852,COLLINS MS US,20000402 00:00,0.10
COOP:221852,COLLINS MS US,20000403 05:00,0.80
COOP:221852,COLLINS MS US,20000403 17:00,0.70
COOP:221852,COLLINS MS US,20000403 20:00,0.10
COOP:221852,COLLINS MS US,20000403 22:00,0.10
COOP:221852,COLLINS MS US,20000403 23:00,0.10
COOP:221852,COLLINS MS US,20000407 19:00,0.10
COOP:221852,COLLINS MS US,20000412 08:00,0.20
COOP:221852,COLLINS MS US,20000412 10:00,0.10
COOP:221852,COLLINS MS US,20000412 11:00,0.10
COOP:221852,COLLINS MS US,20000412 12:00,0.10
COOP:221852,COLLINS MS US,20000412 13:00,0.10
COOP:221852,COLLINS MS US,20000412 14:00,0.10
COOP:221852,COLLINS MS US,20000412 16:00,0.10
COOP:221852,COLLINS MS US,20000412 17:00,0.10
COOP:221852,COLLINS MS US,20000412 18:00,0.10
COOP:221852,COLLINS MS US,20000412 19:00,0.10
COOP:221852,COLLINS MS US,20000412 21:00,0.10
COOP:221852,COLLINS MS US,20000413 00:00,0.10
COOP:221852,COLLINS MS US,20000413 04:00,0.10
COOP:221852,COLLINS MS US,20000413 19:00,0.10
COOP:221852,COLLINS MS US,20000416 09:00,0.10
COOP:221852,COLLINS MS US,20000423 23:00,0.30
COOP:221852,COLLINS MS US,20000424 00:00,0.20
COOP:221852,COLLINS MS US,20000424 01:00,0.10
COOP:221852,COLLINS MS US,20000424 04:00,0.10
COOP:221852,COLLINS MS US,20000424 07:00,0.10
COOP:221852,COLLINS MS US,20000425 06:00,0.10
COOP:221852,COLLINS MS US,20000501 01:00,0.00
COOP:221852,COLLINS MS US,20000513 05:00,0.10
COOP:221852,COLLINS MS US,20000520 21:00,1.70
COOP:221852,COLLINS MS US,20000520 22:00,0.10
COOP:221852,COLLINS MS US,20000601 01:00,0.00
COOP:221852,COLLINS MS US,20000605 08:00,0.10
COOP:221852,COLLINS MS US,20000605 09:00,0.10
COOP:221852,COLLINS MS US,20000605 13:00,0.10
COOP:221852,COLLINS MS US,20000616 11:00,0.10
COOP:221852,COLLINS MS US,20000616 13:00,0.30
COOP:221852,COLLINS MS US,20000616 17:00,0.10
COOP:221852,COLLINS MS US,20000616 18:00,0.10
COOP:221852,COLLINS MS US,20000617 13:00,0.10
COOP:221852,COLLINS MS US,20000617 17:00,0.20
COOP:221852,COLLINS MS US,20000617 18:00,0.40
COOP:221852,COLLINS MS US,20000617 21:00,0.10
COOP:221852,COLLINS MS US,20000618 21:00,0.10
COOP:221852,COLLINS MS US,20000619 08:00,0.10
COOP:221852,COLLINS MS US,20000619 14:00,0.20
COOP:221852,COLLINS MS US,20000619 15:00,1.00
COOP:221852,COLLINS MS US,20000622 11:00,0.20
COOP:221852,COLLINS MS US,20000624 22:00,0.10
COOP:221852,COLLINS MS US,20000625 16:00,0.60
COOP:221852,COLLINS MS US,20000626 16:00,0.10
COOP:221852,COLLINS MS US,20000701 01:00,0.00
COOP:221852,COLLINS MS US,20000717 16:00,0.10
COOP:221852,COLLINS MS US,20000717 19:00,0.10
COOP:221852,COLLINS MS US,20000718 17:00,0.20
COOP:221852,COLLINS MS US,20000718 18:00,0.10
COOP:221852,COLLINS MS US,20000727 15:00,0.10
COOP:221852,COLLINS MS US,20000728 14:00,0.10
COOP:221852,COLLINS MS US,20000729 11:00,0.10
COOP:221852,COLLINS MS US,20000731 13:00,0.20
COOP:221852,COLLINS MS US,20000801 01:00,0.00
COOP:221852,COLLINS MS US,20000802 16:00,0.50
COOP:221852,COLLINS MS US,20000802 17:00,1.00
COOP:221852,COLLINS MS US,20000802 18:00,0.30
COOP:221852,COLLINS MS US,20000808 12:00,0.10
COOP:221852,COLLINS MS US,20000810 19:00,0.20
COOP:221852,COLLINS MS US,20000810 20:00,0.20
COOP:221852,COLLINS MS US,20000828 18:00,0.20
COOP:221852,COLLINS MS US,20000828 20:00,0.10
COOP:221852,COLLINS MS US,20000831 17:00,0.10
COOP:221852,COLLINS MS US,20000831 18:00,0.10
COOP:221852,COLLINS MS US,20000901 01:00,0.00
COOP:221852,COLLINS MS US,20000902 15:00,0.10
COOP:221852,COLLINS MS US,20000908 10:00,0.10
COOP:221852,COLLINS MS US,20000908 17:00,0.10
COOP:221852,COLLINS MS US,20000909 16:00,0.10
COOP:221852,COLLINS MS US,20000912 12:00,0.20
COOP:221852,COLLINS MS US,20000912 13:00,0.20
COOP:221852,COLLINS MS US,20000912 19:00,0.20
COOP:221852,COLLINS MS US,20000912 20:00,0.60
COOP:221852,COLLINS MS US,20000912 21:00,0.20
COOP:221852,COLLINS MS US,20000913 05:00,0.10
COOP:221852,COLLINS MS US,20000921 18:00,1.60
COOP:221852,COLLINS MS US,20000921 19:00,0.10
COOP:221852,COLLINS MS US,20000921 20:00,0.10
COOP:221852,COLLINS MS US,20001001 01:00,0.00
COOP:221852,COLLINS MS US,20001006 10:00,0.60
COOP:221852,COLLINS MS US,20001006 11:00,0.20
COOP:221852,COLLINS MS US,20001006 12:00,0.30
COOP:221852,COLLINS MS US,20001006 13:00,0.10
COOP:221852,COLLINS MS US,20001010 09:00,999.99
COOP:221852,COLLINS MS US,20001010 22:00,999.99
COOP:221852,COLLINS MS US,20001011 13:00,0.10
COOP:221852,COLLINS MS US,20001101 01:00,0.00
